고시번호,고시일자,공고번호,공고일자,급여여부,비고,상세정보,성분명,성분코드,약품상세정보,업소명,업체명,연령처리조건,제품명,제품코드,특정연령,특정연령단위
,,20210248,2021-07-15,급여,,,quetiapine fumarate (as quetiapine),378610ATB,"다른 항정신병약과 같이 이 약을 장기간 투여 후 지연성운동이상 일으킬 위험이 있음. 지연성운동이상증의 발생률은 고령자, 특히 여성 고령자에서 높은 것으로 보임. 비정형성 항정신병 약제들을 메타 분석한 결과, 치매 관련 정신병을 가진 노인 환자에서 위약보다 사망 위험성 증가.",영진약품(주),,,쿠티아핀정12.5밀리그램(쿠에티아핀푸마르산염)_(14.39mg/1정),642404830,,
,,20210248,2021-07-15,급여,,,quetiapine fumarate (as quetiapine),378610ATB,"다른 항정신병약과 같이 이 약을 장기간 투여 후 지연성운동이상 일으킬 위험이 있음. 지연성운동이상증의 발생률은 고령자, 특히 여성 고령자에서 높은 것으로 보임. 비정형성 항정신병 약제들을 메타 분석한 결과, 치매 관련 정신병을 가진 노인 환자에서 위약보다 사망 위험성 증가.",환인제약(주),,,쿠에타핀정12.5밀리그램(쿠에티아핀푸마르산염)_(14.39mg/1정),657203130,,
,,20210248,2021-07-15,급여,,,quetiapine fumarate (as quetiapine),378610ATB,"다른 항정신병약과 같이 이 약을 장기간 투여 후 지연성운동이상 일으킬 위험이 있음. 지연성운동이상증의 발생률은 고령자, 특히 여성 고령자에서 높은 것으로 보임. 비정형성 항정신병 약제들을 메타 분석한 결과, 치매 관련 정신병을 가진 노인 환자에서 위약보다 사망 위험성 증가.",명인제약(주),,,큐로켈정12.5밀리그램(쿠에티아핀푸마르산염)_(14.39mg/1정),651904730,,
,,20210248,2021-07-15,급여,,,quetiapine fumarate (as quetiapine),378610ATB,"다른 항정신병약과 같이 이 약을 장기간 투여 후 지연성운동이상 일으킬 위험이 있음. 지연성운동이상증의 발생률은 고령자, 특히 여성 고령자에서 높은 것으로 보임. 비정형성 항정신병 약제들을 메타 분석한 결과, 치매 관련 정신병을 가진 노인 환자에서 위약보다 사망 위험성 증가.",한림제약(주),,,카세핀정12.5밀리그램(쿠에티아핀푸마르산염)_(14.39mg/1정),645306620,,
,,20210248,2021-07-15,급여,,,quetiapine fumarate (as quetiapine),378610ATB,"다른 항정신병약과 같이 이 약을 장기간 투여 후 지연성운동이상 일으킬 위험이 있음. 지연성운동이상증의 발생률은 고령자, 특히 여성 고령자에서 높은 것으로 보임. 비정형성 항정신병 약제들을 메타 분석한 결과, 치매 관련 정신병을 가진 노인 환자에서 위약보다 사망 위험성 증가.",동화약품(주),,,동화쿠에티아핀정12.5밀리그램(쿠에티아핀푸마르산염)_(14.39mg/1정),642707620,,
,,20170079,2017-02-16,급여,,,diazepam,142930BIJ,"노인에서의 장기지속형 벤조다이아제핀 사용은 인지기능 저하, 섬망, 낙상, 골절 및 교통사고의 위험으로 사용을 추천하지 않으며, 단시간 작용 벤조다이아제핀 사용을 추천함",삼진제약(주),,,삼진디아제팜주_(10mg/2mL),647800761,,
,,20180371,2018-08-31,급여,,,haloperidol,167930BIJ,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함",명인제약(주),,,명인할로페리돌주사_(5mg/1mL),651901021,,
,,20180371,2018-08-31,급여,,,haloperidol,167930BIJ,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함",환인제약(주),,,페리돌주(할로페리돌)_(5mg/1mL),657200921,,
,,20180371,2018-08-31,급여,,,haloperidol decanoate (as haloperidol),168030BIJ,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함",클리니젠코리아(유),,,할돌데카노아스주사(할로페리돌데카노에이트)_(70.52mg/1mL),76100071,,
,,20180371,2018-08-31,급여,,,haloperidol decanoate (as haloperidol),168030BIJ,"노인에서의 정형 항정신병약물 사용은 추체외로 증상, 항콜린성 부작용 등이 나타나기 쉬우므로 사용을 추천하지 않으며, 비정형 항정신병약물 사용을 추천함",(주)한국얀센,,,할돌데카노아스주사(할로페리돌데카노에이트)_(70.52mg/1mL),646900911,,
