성분명,성분코드,제품코드,제품명,업체명,고시일자,고시번호,금기등급,상세정보,급여여부
Chenodeoxycholic acid + Ursodeoxycholic acid,100301ACH,649804410,씨앤유캡슐(케노데속시콜산-우르소데속시콜산삼수화물마그네슘염)_(0.25g/1캡슐),명문제약(주),2020-12-28,20200130,1,"임부 투여금기, 동물실험에서 간독성의 증거 나타남 ",급여
acamprosate,100501ATE,651904740,명인아캄프로세이트정333mg(아캄프로세이트칼슘)_(0.333g/1정),명인제약(주),2016-12-30,20160155,2,임부에 대한 안전성 미확립.,급여
acamprosate,100501ATE,657201040,환인아캄프로세이트정(아캄프로세이트칼슘)_(0.333g/1정),환인제약(주),2016-12-30,20160155,2,임부에 대한 안전성 미확립.,급여
acarbose,100601ATB,652100060,글루코바이정100밀리그람(아카보즈)_(0.1g/1정),(주)한독,2016-12-30,20160155,2,임부에 대한 안전성 미확립.,급여
acarbose,100602ATB,652100050,글루코바이정50밀리그람(아카보즈)_(50mg/1정),(주)한독,2016-12-30,20160155,2,임부에 대한 안전성 미확립.,급여
aceclofenac,100901ACH,648101510,에이서캡슐(아세클로페낙)_(0.1g/1캡슐),경동제약(주),2016-12-30,20160155,2,"임부에 대한 안전성 미확립.임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.동물실험에서 비스테로이드성 소염진통제는 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.임신 약 20주 이후 비스테로이드성 소염제의 사용은 태아의 신기능 이상을 일으켜 양수 과소증 유발 가능 및 경우에 따라 신생아 신장애 발생 가능",급여
aceclofenac,100901ACS,644304150,클란자에스연질캡슐(아세클로페낙)(수출명:SpeenacSoftCaps.)_(0.1g/1캡슐),한국유나이티드제약(주),2016-12-30,20160155,2,"임부에 대한 안전성 미확립.임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.동물실험에서 비스테로이드성 소염진통제는 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.임신 약 20주 이후 비스테로이드성 소염제의 사용은 태아의 신기능 이상을 일으켜 양수 과소증 유발 가능 및 경우에 따라 신생아 신장애 발생 가능",급여
aceclofenac,100901ATB,052400690,로페낙정(아세클로페낙)_(0.1g/1정),(주)인트로바이오파마,2016-12-30,20160155,2,"임부에 대한 안전성 미확립.임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.동물실험에서 비스테로이드성 소염진통제는 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.임신 약 20주 이후 비스테로이드성 소염제의 사용은 태아의 신기능 이상을 일으켜 양수 과소증 유발 가능 및 경우에 따라 신생아 신장애 발생 가능",급여
aceclofenac,100901ATB,052700370,케페낙정100밀리그램(아세클로페낙)_(0.1g/1정),(주)휴온스생명과학,2016-12-30,20160155,2,"임부에 대한 안전성 미확립.임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.동물실험에서 비스테로이드성 소염진통제는 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.임신 약 20주 이후 비스테로이드성 소염제의 사용은 태아의 신기능 이상을 일으켜 양수 과소증 유발 가능 및 경우에 따라 신생아 신장애 발생 가능",급여
aceclofenac,100901ATB,053300200,아세크릴정(아세클로페낙)_(0.1g/1정),(주)중헌제약,2016-12-30,20160155,2,"임부에 대한 안전성 미확립.임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.동물실험에서 비스테로이드성 소염진통제는 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.임신 약 20주 이후 비스테로이드성 소염제의 사용은 태아의 신기능 이상을 일으켜 양수 과소증 유발 가능 및 경우에 따라 신생아 신장애 발생 가능",급여
aceclofenac,100901ATB,053500180,오스템아세클로페낙정_(0.1g/1정),오스템파마주식회사,2016-12-30,20160155,2,"임부에 대한 안전성 미확립.임신 말기에 투여시 태아의 동맥관조기폐쇄 가능성.동물실험에서 비스테로이드성 소염진통제는 난산발생빈도 증가, 분만지연, 태아 생존율 감소 보고.임신 약 20주 이후 비스테로이드성 소염제의 사용은 태아의 신기능 이상을 일으켜 양수 과소증 유발 가능 및 경우에 따라 신생아 신장애 발생 가능",급여
